mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,5,16,1024,6,small-literals,5,10,165,31,0,31,61,86,172,324
global,5,16,2560,4,builtin-cap,8,18,166,29,0,29,97,89,340,477
global,5,16,4095,2,no-quote,8,24,156,32,1,32,102,89,297,305
global,5,255,16,0,none,3,6,63,24,0,24,43,34,55,82
global,5,255,255,0,none,3,7,124,30,0,30,43,34,79,178
global,5,255,256,3,letrec-required,3,7,137,59,0,59,55,67,91,184
global,5,255,512,5,single-lambda,4,8,137,29,0,29,49,69,118,233
global,5,255,1024,7,fold-required,5,10,170,54,0,54,96,91,172,259
global,5,255,2560,7,fold-required,8,18,275,59,0,59,177,161,388,565
global,5,255,4095,4,builtin-cap,8,24,265,32,0,32,121,121,404,733
global,5,4096,16,0,none,3,6,85,27,0,27,43,34,67,130
global,5,4096,255,0,none,3,7,66,25,0,25,43,34,55,82
global,5,4096,256,0,none,3,7,112,30,0,30,37,37,73,154
global,5,4096,512,1,no-digits,4,8,118,28,0,28,49,37,118,233
global,5,4096,1024,6,small-literals,5,10,188,29,0,29,61,86,172,324
global,5,4096,2560,4,builtin-cap,8,18,254,39,0,39,129,249,388,669
global,5,4096,4095,4,builtin-cap,8,24,286,28,0,28,97,73,388,669
global,6,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,6,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,6,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,6,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,6,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,6,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,6,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,6,1,16,0,none,3,6,87,30,0,30,42,22,55,82
global,6,1,255,0,none,3,7,105,30,0,30,43,34,79,178
global,6,1,256,1,no-digits,3,7,89,27,0,27,34,40,73,154
global,6,1,512,1,no-digits,4,8,138,30,1,30,57,45,126,265
global,6,1,1024,2,no-quote,5,10,171,27,1,27,71,56,153,148
global,6,1,2560,2,no-quote,8,18,285,30,0,30,97,97,361,353
global,6,1,4095,4,builtin-cap,8,24,166,29,0,29,97,89,340,477
global,6,16,16,0,none,3,6,90,25,0,25,34,40,73,154
global,6,16,255,0,none,3,7,99,30,0,30,43,34,79,178
global,6,16,256,5,single-lambda,3,7,86,27,0,27,43,34,67,130
global,6,16,512,3,letrec-required,4,8,119,53,0,53,81,85,118,177
global,6,16,1024,2,no-quote,5,10,177,30,0,30,61,61,163,158
global,6,16,2560,6,small-literals,8,18,246,30,0,30,97,97,388,669
global,6,16,4095,6,small-literals,8,24,217,30,0,30,113,89,404,733
global,6,255,16,0,none,3,6,93,30,0,30,37,37,73,154
global,6,255,255,0,none,3,7,84,30,0,30,42,22,55,82
global,6,255,256,3,letrec-required,3,7,116,59,0,59,62,52,73,112
global,6,255,512,3,letrec-required,4,8,165,56,0,56,69,93,142,273
global,6,255,1024,1,no-digits,5,10,204,30,0,30,71,56,182,364
global,6,255,2560,1,no-digits,8,18,273,37,1,37,147,73,340,477
global,6,255,4095,6,small-literals,8,24,246,37,0,37,89,73,372,605
global,6,4096,16,0,none,3,6,66,25,0,25,43,34,55,82
global,6,4096,255,0,none,3,7,96,28,1,28,37,28,73,154
global,6,4096,256,5,single-lambda,3,7,100,30,1,30,37,37,73,154
global,6,4096,512,1,no-digits,4,8,145,27,0,27,45,53,118,233
global,6,4096,1024,1,no-digits,5,10,143,28,0,28,61,46,172,324
global,6,4096,2560,1,no-digits,8,18,254,35,0,35,129,249,388,669
global,6,4096,4095,7,fold-required,8,24,256,54,0,54,149,145,388,565
global,7,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,7,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,7,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,7,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,7,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,7,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,7,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,7,1,16,0,none,3,6,90,27,0,27,43,34,67,130
global,7,1,255,0,none,3,7,87,28,0,28,37,28,73,154
global,7,1,256,0,none,3,7,89,30,0,30,37,37,73,154
global,7,1,512,1,no-digits,4,8,105,30,1,30,47,29,94,137
global,7,1,1024,1,no-digits,5,10,162,27,0,27,56,66,172,324
global,7,1,2560,4,builtin-cap,8,18,310,41,0,41,129,249,388,669
global,7,1,4095,1,no-digits,8,24,287,29,1,29,97,137,388,669
global,7,16,16,0,none,3,6,107,28,0,28,37,28,73,154
global,7,16,255,0,none,3,7,63,25,0,25,43,34,55,82
global,7,16,256,0,none,3,7,81,30,0,30,38,22,55,82
global,7,16,512,5,single-lambda,4,8,87,25,0,25,57,45,94,137
global,7,16,1024,4,builtin-cap,5,10,100,29,0,29,61,56,142,204
global,7,16,2560,2,no-quote,8,18,190,35,0,35,127,73,297,305
global,7,16,4095,4,builtin-cap,8,24,303,28,0,28,97,73,388,669
global,7,255,16,0,none,3,6,74,30,0,30,34,22,55,82
global,7,255,255,0,none,3,7,87,28,0,28,37,28,73,154
global,7,255,256,5,single-lambda,3,7,104,30,0,30,37,37,73,154
global,7,255,512,0,none,4,8,114,30,0,30,49,49,118,233
global,7,255,1024,4,builtin-cap,5,10,112,25,0,25,71,56,142,204
global,7,255,2560,6,small-literals,8,18,201,30,0,30,97,97,388,669
global,7,255,4095,2,no-quote,8,24,230,35,1,35,125,73,297,305
global,7,4096,16,0,none,3,6,105,25,0,25,34,40,73,154
global,7,4096,255,0,none,3,7,65,25,0,25,43,34,55,82
global,7,4096,256,0,none,3,7,84,30,0,30,42,22,55,82
global,7,4096,512,5,single-lambda,4,8,121,27,0,27,57,45,110,201
global,7,4096,1024,4,builtin-cap,5,10,143,30,0,30,64,36,142,204
global,7,4096,2560,1,no-digits,8,18,288,29,1,29,97,137,388,669
global,7,4096,4095,2,no-quote,8,24,178,25,1,25,113,89,297,305
global,8,0,16,0,none,3,6,90,27,0,27,43,34,67,130
global,8,0,255,0,none,3,7,90,27,0,27,43,34,67,130
global,8,0,256,3,letrec-required,3,7,119,56,0,56,61,64,85,160
global,8,0,512,3,letrec-required,4,8,148,57,0,57,73,77,142,273
global,8,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,8,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,8,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,8,1,16,0,none,3,6,86,30,0,30,37,37,73,154
global,8,1,255,0,none,3,7,111,26,0,26,34,40,73,154
global,8,1,256,0,none,3,7,87,28,0,28,37,28,73,154
global,8,1,512,1,no-digits,4,8,143,24,0,24,45,53,118,233
global,8,1,1024,7,fold-required,5,10,172,51,0,51,101,111,192,339
global,8,1,2560,6,small-literals,8,18,257,35,0,35,131,73,340,477
global,8,1,4095,4,builtin-cap,8,24,167,29,0,29,97,89,340,477
global,8,16,16,0,none,3,6,87,28,0,28,37,28,73,154
global,8,16,255,0,none,3,7,86,30,0,30,44,22,55,82
global,8,16,256,3,letrec-required,3,7,118,56,0,56,61,64,85,160
global,8,16,512,3,letrec-required,4,8,119,54,0,54,81,85,118,177
global,8,16,1024,4,builtin-cap,5,10,146,30,0,30,68,36,142,204
global,8,16,2560,2,no-quote,8,18,312,28,0,28,97,73,377,353
