mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,8,16,255,0,none,3,7,82,30,0,30,44,22,55,82
global,8,16,256,3,letrec-required,3,7,113,54,0,54,61,64,85,160
global,8,16,512,3,letrec-required,4,8,112,51,0,51,81,85,118,177
global,8,16,1024,4,builtin-cap,5,10,138,30,0,30,68,36,142,204
global,8,16,2560,2,no-quote,8,18,297,27,0,27,97,73,377,353
global,8,16,4095,1,no-digits,8,24,232,29,0,29,97,97,388,669
global,8,255,16,0,none,3,6,92,26,1,26,34,40,73,154
global,8,255,255,0,none,3,7,76,29,0,29,37,37,73,154
global,8,255,256,1,no-digits,3,7,108,28,0,28,43,34,79,178
global,8,255,512,0,none,4,8,111,30,1,30,57,29,94,137
global,8,255,1024,2,no-quote,5,10,89,27,0,27,61,56,123,128
global,8,255,2560,1,no-digits,8,18,232,33,1,33,125,73,340,477
global,8,255,4095,4,builtin-cap,8,24,258,35,0,35,145,105,420,797
global,8,4096,16,0,none,3,6,92,29,0,29,37,37,73,154
global,8,4096,255,0,none,3,7,100,29,1,29,37,37,73,154
global,8,4096,256,3,letrec-required,3,7,101,55,0,55,55,58,91,184
global,8,4096,512,1,no-digits,4,8,128,29,0,29,49,49,118,233
global,8,4096,1024,7,fold-required,5,10,170,49,0,49,101,111,192,339
global,8,4096,2560,7,fold-required,8,18,288,58,1,58,193,193,468,885
global,8,4096,4095,2,no-quote,8,24,169,38,0,38,129,89,297,305
global,9,0,16,0,none,3,6,86,26,0,26,43,34,67,130
global,9,0,255,0,none,3,7,86,26,0,26,43,34,67,130
global,9,0,256,3,letrec-required,3,7,114,54,0,54,61,64,85,160
global,9,0,512,3,letrec-required,4,8,137,55,0,55,73,77,142,273
global,9,0,1024,2,no-quote,5,10,107,24,1,24,71,56,123,128
global,9,0,2560,2,no-quote,8,18,197,30,0,30,97,57,297,305
global,9,0,4095,2,no-quote,8,24,178,24,0,24,113,89,297,305
